"","sample","ContaminationRatio(%)"
"X","19R58092.SNPratio","3.09"
"X.1","19R58093.SNPratio","3.03"
"X.2","19R58094.SNPratio","3.235"
"X.3","19R58095.SNPratio","2.075"
"X.4","19R58096.SNPratio","1.67"
"X.5","19R58097.SNPratio","1.55"
"X.6","19R58098.SNPratio","1.13"
"X.7","19R58099.SNPratio","0.96"
"X.8","19R58100.SNPratio","1.18"
"X.9","19R58101.SNPratio","0.67"
"X.10","19R58102.SNPratio","1.09"
"X.11","19R58103.SNPratio","1.65"
"X.12","19R58104.SNPratio","7.91"
"X.13","19R58105.SNPratio","8.37"
"X.14","19R58106.SNPratio","7.99"
"X.15","19R58107.SNPratio","4.26"
"X.16","19R58108.SNPratio","4.31"
"X.17","19R58109.SNPratio","3.62"
"X.18","19R58110.SNPratio","2.645"
"X.19","19R58111.SNPratio","2.82"
"X.20","19R58112.SNPratio","2.71"
"X.21","19R58113.SNPratio","2.78"
"X.22","19R58114.SNPratio","2.87"
"X.23","19R58115.SNPratio","2.15"
"X.24","19R58116.SNPratio","1.54"
"X.25","19R58117.SNPratio","8.65"
"X.26","19R58118.SNPratio","0.98"
"X.27","19R58119.SNPratio","9.695"
"X.28","19R58120.SNPratio","8.66"
"X.29","19R58121.SNPratio","4.33"
"X.30","19R58122.SNPratio","4.78"
"X.31","19R58123.SNPratio","4.24"
"X.32","19R58124.SNPratio","3.005"
"X.33","19R58125.SNPratio","2.45"
"X.34","19R58126.SNPratio","2.96"
"X.35","19R58127.SNPratio","2.49"
"X.36","19R58128.SNPratio","2.39"
"X.37","19R58129.SNPratio","2.12"
"X.38","19R58130.SNPratio","2.27"
"X.39","19R58131.SNPratio","2.34"
"X.40","19R58132.SNPratio","2.425"
"X.41","19R58133.SNPratio","1.615"
"X.42","19R58134.SNPratio","1.95"
"X.43","19R58135.SNPratio","1.63"
"X.44","19R58136.SNPratio","1.34"
"X.45","19R58137.SNPratio","1.255"
"X.46","19R58138.SNPratio","1.55"
"X.47","19R58139.SNPratio","0.78"
"X.48","19R58140.SNPratio","1.965"
"X.49","19R58141.SNPratio","0.91"
"X.50","19R58142.SNPratio","1.03"
"X.51","19R58143.SNPratio","0.97"
"X.52","19R58144.SNPratio","5.39"
"X.53","19R58145.SNPratio","5.14"
"X.54","19R58146.SNPratio","5.415"
"X.55","19R58147.SNPratio","4.21"
"X.56","19R58148.SNPratio","3.64"
"X.57","19R58149.SNPratio","4.505"
"X.58","19R58150.SNPratio","2.065"
"X.59","19R58151.SNPratio","1.99"
"X.60","19R58152.SNPratio","2.36"
"X.61","19R58153.SNPratio","2.655"
"X.62","19R58154.SNPratio","2.75"
"X.63","19R58155.SNPratio","2.03"
"X.64","19R58156.SNPratio","5.93"
"X.65","19R58157.SNPratio","8.165"
"X.66","19R58158.SNPratio","6.55"
"X.67","19R58159.SNPratio","4.01"
"X.68","19R58160.SNPratio","3.73"
"X.69","19R58161.SNPratio","3.34"
"X.70","19R58162.SNPratio","2.405"
"X.71","19R58163.SNPratio","1.88"
"X.72","19R58164.SNPratio","2.41"
"X.73","19R58165.SNPratio","1.47"
"X.74","19R58166.SNPratio","1.65"
"X.75","19R58167.SNPratio","1.58"
"X.76","19R58168.SNPratio","1.26"
"X.77","19R58169.SNPratio","1.18"
