Sample	MajorComponent
19R36178	ME180
19R36179	143B
19R36180	JEG3
19R36181	A875
19R36182	HT3
19R36183	C33A
19R36184	DOTC24510
19R36185	CASKI
19R36186	HLE
19R36187	HCC94
19R36188	NCIH1993
19R36189	LS174T
19R36190	OSC19
19R36191	SF763
19R36192	SW626
19R36193	SJCRH30
19R36194	A875
19R36195	DOTC24510
19R36196	OSC19
19R36197	NOZ
19R36198	SNU739
19R36199	U251MG
